A.19078,A.19312,A.19332,B.15012,B.15076,B.15096,C.11064,C.11070,C.11425,D.07042,D.07418,D.07428,E.03072,E.03094,E.03098,F.98314,F.98372,F.98398
0.011962551,0.009773101,0.009805914,0.006094569,0.014924775,0.006094569,0.035455601,0.029945254,0.02328998,0.032342857,0.018691157,0.037609049,0,0.01603732,0.032209985,0.058791646,0.058791646,0.029682355
0.002102054,0.002254297,0.003252318,0.002763081,0.004358795,0.002763081,0.005275256,0.001626419,0.006475371,0.005979437,0.004621253,0.001274121,0.001953924,0.001851852,0.004487179,0.007230799,0.007230799,0.006634559
0.029538798,0.032290361,0.030401973,0.028656021,0.043517287,0.028656021,0.033691854,0.035847998,0.042019294,0.045718098,0.030325099,0.04167439,0.031818651,0.031793032,0.038868758,0.043838917,0.043838917,0.045949766
0.007743209,0.011517136,0.009766421,0.011666908,0.014423679,0.011666908,0.01815665,0.01133459,0.012366727,0.010805492,0.013376252,0.011209802,0.015669505,0.014542593,0.021266835,0.019453761,0.019453761,0.012961221
0.020476917,0.02536407,0.021353653,0.032124979,0.024522926,0.032124979,0.029002216,0.027059153,0.028121136,0.027732673,0.027204324,0.021446189,0.024120758,0.030249508,0.03462854,0.053301541,0.053301541,0.029353604
0.029034952,0.032637348,0.03152176,0.030930125,0.037307416,0.030930125,0.032889235,0.028623519,0.037376502,0.03977175,0.03465799,0.033597206,0.043068023,0.032366548,0.034750072,0.040551694,0.040551694,0.044265096
0.008642198,0.010716838,0.008915853,0.009032928,0.019950013,0.009032928,0.011900253,0.012714446,0.011009753,0.013203923,0.015063668,0.011141831,0.026782721,0.014814318,0.004965358,0.022512507,0.022512507,0.010069264
0.005470143,0.008759282,0.008263823,0.010824257,0.011679524,0.010824257,0.011362813,0.009862599,0.012230693,0.010869148,0.011329629,0.009416525,0.011419499,0.008704193,0.012829185,0.016192279,0.016192279,0.009516958
0.007072089,0.005563177,0.005282824,0.007427823,0.007727484,0.007427823,0.007139701,0.006687584,0.008644043,0.004491384,0.01019815,0.005933366,0,0.008298986,0.019652967,0.019968018,0.019968018,0.005238039
0.005201864,0.006979211,0.004976884,0.006169608,0.00652652,0.006169608,0.007564987,0.004257923,0.005345338,0.00434551,0.005869425,0.004826523,0,0.007818634,0.007776412,0.008583104,0.008583104,0.006178639
